date,ph,tb,rc
2014-01-02 10:00:00,7.3977,0.0415,0.76
2014-01-02 11:00:00,7.407,0.0416,0.76
2014-01-02 12:00:00,7.4166,0.0417,0.76
2014-01-02 13:00:00,7.4191,0.0416,0.76
2014-01-02 14:00:00,7.425,0.0416,0.76
2014-01-02 15:00:00,7.4361,0.0418,0.76
2014-01-02 16:00:00,7.4499,0.0419,0.76
2014-01-02 17:00:00,7.4675,0.0419,0.76
2014-01-02 18:00:00,7.4917,0.0421,0.76
2014-01-02 19:00:00,7.5017,0.0425,0.76
2014-01-02 20:00:00,7.48,0.0424,0.76
2014-01-02 21:00:00,7.4556,0.042,0.76
2014-01-02 22:00:00,7.4327,0.042,0.7634000000000001
2014-01-02 23:00:00,7.4134,0.0417,0.7748
2014-01-03 00:00:00,7.4159,0.0418,0.7579
2014-01-03 01:00:00,7.4368,0.0415,0.748
2014-01-03 02:00:00,7.4423,0.0409,0.7396
2014-01-03 03:00:00,7.4247,0.0407,0.7338
2014-01-03 04:00:00,7.4151,0.0409,0.7494000000000001
2014-01-03 05:00:00,7.4143,0.0413,0.7865000000000001
2014-01-03 06:00:00,7.4134,0.0419,0.8014
2014-01-03 07:00:00,7.4331,0.0418,0.8
2014-01-03 08:00:00,7.4706,0.0417,0.8
2014-01-03 09:00:00,7.4915,0.0416,0.8
2014-01-03 10:00:00,7.4737,0.0417,0.8
2014-01-03 11:00:00,7.4412,0.0419,0.8
2014-01-03 12:00:00,7.4311,0.0416,0.8
2014-01-03 13:00:00,7.4383,0.0414,0.8
2014-01-03 14:00:00,7.4492,0.0413,0.8
2014-01-03 15:00:00,7.4491,0.0413,0.8
2014-01-03 16:00:00,7.4354,0.0412,0.8
2014-01-03 17:00:00,7.43,0.0413,0.8011
2014-01-03 18:00:00,7.4348,0.0417,0.8007000000000001
2014-01-03 19:00:00,7.4384,0.0419,0.7943
2014-01-03 20:00:00,7.4385,0.0419,0.7727
2014-01-03 21:00:00,7.4471,0.0419,0.7529
2014-01-03 22:00:00,7.4611,0.0424,0.7364
2014-01-03 23:00:00,7.4753,0.0422,0.7165
2014-01-04 00:00:00,7.489,0.0419,0.7012
2014-01-04 01:00:00,7.4887,0.0417,0.6964
2014-01-04 02:00:00,7.4921,0.0415,0.7091000000000001
2014-01-04 03:00:00,7.4821,0.0416,0.729
2014-01-04 04:00:00,7.4408,0.0412,0.7574000000000001
2014-01-04 05:00:00,7.4241,0.041,0.7865000000000001
2014-01-04 06:00:00,7.4068,0.041,0.8044
2014-01-04 07:00:00,7.3963,0.0419,0.8
2014-01-04 08:00:00,7.3907,0.0423,0.8
2014-01-04 09:00:00,7.388,0.0419,0.8
2014-01-04 10:00:00,7.3915,0.0423,0.8
2014-01-04 11:00:00,7.4178,0.0427,0.8
2014-01-04 12:00:00,7.4501,0.0427,0.8
2014-01-04 13:00:00,7.4798,0.0424,0.8
2014-01-04 14:00:00,7.5013,0.042,0.7992
2014-01-04 15:00:00,7.5142,0.0416,0.79
2014-01-04 16:00:00,7.5066,0.0414,0.79
2014-01-04 17:00:00,7.4812,0.0414,0.79
2014-01-04 18:00:00,7.4506,0.042,0.79
2014-01-04 19:00:00,7.4373,0.0426,0.79
2014-01-04 20:00:00,7.4373,0.0418,0.79
2014-01-04 21:00:00,7.4354,0.0415,0.792
