date,ph,tb,rc
2014-01-02 10:00:00,6.9298,0.0298,0.7242000000000001
2014-01-02 11:00:00,6.9291,0.0298,0.7266
2014-01-02 12:00:00,6.9281,0.0299,0.7273000000000001
2014-01-02 13:00:00,6.9305,0.0298,0.7251000000000001
2014-01-02 14:00:00,6.9311,0.0298,0.7228
2014-01-02 15:00:00,6.9318,0.0298,0.7189
2014-01-02 16:00:00,6.9337,0.0298,0.7125
2014-01-02 17:00:00,6.9357,0.0297,0.7084
2014-01-02 18:00:00,6.9422,0.0307,0.7019000000000001
2014-01-02 19:00:00,6.9393,0.0298,0.6972
2014-01-02 20:00:00,6.936,0.0298,0.6935
2014-01-02 21:00:00,6.9339,0.0298,0.6949000000000001
2014-01-02 22:00:00,6.9374,0.0298,0.7057
2014-01-02 23:00:00,6.9421,0.0297,0.7168
2014-01-03 00:00:00,6.9398,0.0299,0.7242000000000001
2014-01-03 01:00:00,6.9406,0.0297,0.7282000000000001
2014-01-03 02:00:00,6.938,0.0298,0.7341000000000001
2014-01-03 03:00:00,6.9359,0.0298,0.7433000000000001
2014-01-03 04:00:00,6.9348,0.0298,0.7456
2014-01-03 05:00:00,6.935,0.0298,0.7488
2014-01-03 06:00:00,6.9313,0.0298,0.7505000000000001
2014-01-03 07:00:00,6.9324,0.0298,0.7534000000000001
2014-01-03 08:00:00,6.9336,0.0298,0.7604000000000001
2014-01-03 09:00:00,6.9355,0.0299,0.7641
2014-01-03 10:00:00,6.9391,0.0299,0.7581
2014-01-03 11:00:00,6.9405,0.0299,0.7488
2014-01-03 12:00:00,6.9435,0.0298,0.742
2014-01-03 13:00:00,6.9446,0.0298,0.7351000000000001
2014-01-03 14:00:00,6.9468,0.0314,0.7335
2014-01-03 15:00:00,6.9496,0.034,0.7298
2014-01-03 16:00:00,6.9518,0.0298,0.7287
2014-01-03 17:00:00,6.9567,0.0298,0.7246
2014-01-03 18:00:00,6.961,0.0315,0.718
2014-01-03 19:00:00,6.9654,0.0298,0.7091000000000001
2014-01-03 20:00:00,6.9661,0.0316,0.7042
2014-01-03 21:00:00,6.9646,0.0308,0.7072
2014-01-03 22:00:00,6.9682,0.0298,0.7159
2014-01-03 23:00:00,6.9703,0.0298,0.7234
2014-01-04 00:00:00,6.9727,0.0301,0.7285
2014-01-04 01:00:00,6.9749,0.03,0.7314
2014-01-04 02:00:00,6.9733,0.0298,0.732
2014-01-04 03:00:00,6.9736,0.0298,0.7313000000000001
2014-01-04 04:00:00,6.9721,0.0307,0.7262000000000001
2014-01-04 05:00:00,6.9685,0.0298,0.7167
2014-01-04 06:00:00,6.9606,0.0298,0.7146
2014-01-04 07:00:00,6.9581,0.0298,0.7232000000000001
2014-01-04 08:00:00,6.9567,0.0297,0.7393000000000001
2014-01-04 09:00:00,6.9563,0.0298,0.7621
2014-01-04 10:00:00,6.9569,0.0299,0.779
2014-01-04 11:00:00,6.9582,0.0299,0.7618
2014-01-04 12:00:00,6.9598,0.0298,0.7613000000000001
2014-01-04 13:00:00,6.964,0.0299,0.7443000000000001
2014-01-04 14:00:00,6.9683,0.0298,0.7252000000000001
2014-01-04 15:00:00,6.9726,0.0299,0.7051000000000001
2014-01-04 16:00:00,6.9748,0.0299,0.6966
2014-01-04 17:00:00,6.9766,0.0299,0.692
2014-01-04 18:00:00,6.9805,0.0298,0.6916
2014-01-04 19:00:00,6.9805,0.0298,0.6916
2014-01-04 20:00:00,6.9763,0.0298,0.6893
2014-01-04 21:00:00,6.9776,0.0298,0.6863
2014-01-04 22:00:00,6.985,0.0298,0.6851
2014-01-04 23:00:00,6.9897,0.0306,0.684
2014-01-05 00:00:00,6.992,0.0298,0.6829000000000001
2014-01-05 01:00:00,6.9939,0.0298,0.6871
2014-01-05 02:00:00,6.9911,0.0298,0.6972
