date,ph,tb,rc
2014-01-02 10:00:00,7.5212,0.0201,0.7987000000000001
2014-01-02 11:00:00,7.5278,0.0201,0.8044
2014-01-02 12:00:00,7.5321,0.0202,0.8039000000000001
2014-01-02 13:00:00,7.5367,0.0203,0.817
2014-01-02 14:00:00,7.5356,0.0204,0.837
2014-01-02 15:00:00,7.5296,0.0205,0.8279000000000001
2014-01-02 16:00:00,7.521,0.0206,0.8184
2014-01-02 17:00:00,7.5119,0.0206,0.8123
2014-01-02 18:00:00,7.5055,0.0205,0.8205
2014-01-02 19:00:00,7.4994,0.0204,0.8331000000000001
2014-01-02 20:00:00,7.4953,0.0203,0.8432000000000001
2014-01-02 21:00:00,7.4902,0.0202,0.8434
2014-01-02 22:00:00,7.4845,0.0201,0.8329000000000001
2014-01-02 23:00:00,7.4801,0.0199,0.8264
2014-01-03 00:00:00,7.473,0.02,0.8214
2014-01-03 01:00:00,7.4675,0.0205,0.8095
2014-01-03 02:00:00,7.4654,0.0206,0.8022
2014-01-03 03:00:00,7.4646,0.0203,0.8156
2014-01-03 04:00:00,7.4639,0.0203,0.8358
2014-01-03 05:00:00,7.4666,0.0203,0.8435
2014-01-03 06:00:00,7.4723,0.0203,0.818
2014-01-03 07:00:00,7.4819,0.0202,0.7991
2014-01-03 08:00:00,7.4933,0.0204,0.7721
2014-01-03 09:00:00,7.502,0.0207,0.7533000000000001
2014-01-03 10:00:00,7.5039,0.0207,0.797
2014-01-03 11:00:00,7.5026,0.0207,0.8014
2014-01-03 12:00:00,7.4998,0.0209,0.7883
2014-01-03 13:00:00,7.4971,0.021,0.7667
2014-01-03 14:00:00,7.4951,0.0209,0.7629
2014-01-03 15:00:00,7.4915,0.0209,0.7759
2014-01-03 16:00:00,7.4891,0.0208,0.7879
2014-01-03 17:00:00,7.4879,0.0208,0.8023
2014-01-03 18:00:00,7.4871,0.0208,0.804
2014-01-03 19:00:00,7.4842,0.021,0.7931
2014-01-03 20:00:00,7.48,0.0211,0.7865000000000001
2014-01-03 21:00:00,7.4752,0.021,0.7988000000000001
2014-01-03 22:00:00,7.4696,0.0209,0.8135
2014-01-03 23:00:00,7.467,0.0206,0.8178000000000001
2014-01-04 00:00:00,7.4645,0.0204,0.8158000000000001
2014-01-04 01:00:00,7.4615,0.0202,0.8209000000000001
2014-01-04 02:00:00,7.458,0.0201,0.8322
2014-01-04 03:00:00,7.4551,0.0199,0.8417
2014-01-04 04:00:00,7.4563,0.02,0.8578
2014-01-04 05:00:00,7.4641,0.02,0.8433
2014-01-04 06:00:00,7.4725,0.0201,0.8173
2014-01-04 07:00:00,7.4808,0.0201,0.7991
2014-01-04 08:00:00,7.4868,0.02,0.8183
2014-01-04 09:00:00,7.4929,0.0199,0.8435
2014-01-04 10:00:00,7.4967,0.0199,0.8394
2014-01-04 11:00:00,7.5023,0.02,0.8255
2014-01-04 12:00:00,7.5026,0.0201,0.8197
2014-01-04 13:00:00,7.4985,0.0204,0.8239000000000001
2014-01-04 14:00:00,7.4945,0.0204,0.8354
2014-01-04 15:00:00,7.4929,0.0204,0.8397
2014-01-04 16:00:00,7.4909,0.0204,0.8227
2014-01-04 17:00:00,7.49,0.0204,0.8054
2014-01-04 18:00:00,7.4873,0.0204,0.8149000000000001
2014-01-04 19:00:00,7.4849,0.0203,0.8347
2014-01-04 20:00:00,7.4826,0.0203,0.8481000000000001
2014-01-04 21:00:00,7.4808,0.0202,0.8488
2014-01-04 22:00:00,7.4787,0.0201,0.8463
2014-01-04 23:00:00,7.4761,0.0199,0.8234
2014-01-05 00:00:00,7.4742,0.0198,0.8242
2014-01-05 01:00:00,7.4701,0.0196,0.8485
2014-01-05 02:00:00,7.4646,0.0195,0.8681000000000001
2014-01-05 03:00:00,7.4625,0.0194,0.863
2014-01-05 04:00:00,7.4672,0.0195,0.8396
2014-01-05 05:00:00,7.4733,0.0196,0.846
2014-01-05 06:00:00,7.4808,0.0196,0.8478
2014-01-05 07:00:00,7.4913,0.0196,0.8415
2014-01-05 08:00:00,7.5007,0.0196,0.8368
2014-01-05 09:00:00,7.5092,0.0196,0.8294
2014-01-05 10:00:00,7.5174,0.0196,0.8012
2014-01-05 11:00:00,7.5243,0.0198,0.7911
2014-01-05 12:00:00,7.5234,0.02,0.8008000000000001
2014-01-05 13:00:00,7.5199,0.0202,0.805
2014-01-05 14:00:00,7.5176,0.0203,0.8089000000000001
2014-01-05 15:00:00,7.5155,0.0203,0.8185
2014-01-05 16:00:00,7.5122,0.0203,0.8251000000000001
2014-01-05 17:00:00,7.5092,0.0203,0.8168000000000001
2014-01-05 18:00:00,7.508,0.0203,0.8096
2014-01-05 19:00:00,7.5073,0.0202,0.8173
2014-01-05 20:00:00,7.5048,0.0201,0.8289000000000001
2014-01-05 21:00:00,7.5025,0.0199,0.8471000000000001
2014-01-05 22:00:00,7.5014,0.0197,0.838
