date,ph,tb,rc
2014-01-02 10:00:00,6.8898,0.0347,0.4522
2014-01-02 11:00:00,6.8903,0.035,0.455
2014-01-02 12:00:00,6.889,0.0351,0.4577
2014-01-02 13:00:00,6.8905,0.0347,0.4589
2014-01-02 14:00:00,6.8885000000000005,0.0344,0.4602
2014-01-02 15:00:00,6.8889,0.0344,0.4595
2014-01-02 16:00:00,6.8843,0.0344,0.4554
2014-01-02 17:00:00,6.8861,0.0348,0.4501
2014-01-02 18:00:00,6.8865,0.0351,0.4483
2014-01-02 19:00:00,6.8897,0.0355,0.4493
2014-01-02 20:00:00,6.8902,0.0361,0.4495
2014-01-02 21:00:00,6.8945,0.0364,0.4493
2014-01-02 22:00:00,6.9006,0.0366,0.4506
2014-01-02 23:00:00,6.9042,0.0357,0.4483
2014-01-03 00:00:00,6.9062,0.0362,0.4452
2014-01-03 01:00:00,6.9053,0.0365,0.4398
2014-01-03 02:00:00,6.9009,0.0362,0.4332
2014-01-03 03:00:00,6.9006,0.0345,0.4267
2014-01-03 04:00:00,6.8989,0.0342,0.4238
2014-01-03 05:00:00,6.9015,0.0339,0.4263
2014-01-03 06:00:00,6.8999,0.0341,0.4277
2014-01-03 07:00:00,6.9016,0.0342,0.4274
2014-01-03 08:00:00,6.9028,0.0338,0.4297
2014-01-03 09:00:00,6.9017,0.0335,0.4335
2014-01-03 10:00:00,6.9011,0.0337,0.4386
2014-01-03 11:00:00,6.9018,0.0333,0.4431
2014-01-03 12:00:00,6.8997,0.0334,0.4453
2014-01-03 13:00:00,6.902,0.0335,0.4452
2014-01-03 14:00:00,6.9021,0.0333,0.4456
2014-01-03 15:00:00,6.8982,0.0336,0.4468
2014-01-03 16:00:00,6.8992,0.0335,0.4478
2014-01-03 17:00:00,6.9039,0.0336,0.4495
2014-01-03 18:00:00,6.9051,0.0346,0.4551
2014-01-03 19:00:00,6.8996,0.0347,0.4609
2014-01-03 20:00:00,6.9008,0.035,0.4594
2014-01-03 21:00:00,6.9003,0.0361,0.4597
2014-01-03 22:00:00,6.9149,0.036,0.4646
2014-01-03 23:00:00,6.9205000000000005,0.035,0.4627
2014-01-04 00:00:00,6.9181,0.0354,0.4573
2014-01-04 01:00:00,6.9145,0.0357,0.4518
2014-01-04 02:00:00,6.9162,0.0355,0.4464
2014-01-04 03:00:00,6.9166,0.0341,0.4409
2014-01-04 04:00:00,6.9128,0.0328,0.4387
2014-01-04 05:00:00,6.9134,0.0329,0.4418
2014-01-04 06:00:00,6.91,0.0327,0.4483
2014-01-04 07:00:00,6.9142,0.0329,0.4533
2014-01-04 08:00:00,6.9094,0.0326,0.4602
2014-01-04 09:00:00,6.9025,0.0326,0.4639
2014-01-04 10:00:00,6.9022,0.0332,0.4585
2014-01-04 11:00:00,6.9019,0.033,0.4523
2014-01-04 12:00:00,6.9087,0.033,0.449
2014-01-04 13:00:00,6.903,0.0329,0.4477
2014-01-04 14:00:00,6.9083,0.033,0.4469
2014-01-04 15:00:00,6.9093,0.0328,0.4481
2014-01-04 16:00:00,6.9158,0.0328,0.4508
2014-01-04 17:00:00,6.9155,0.0329,0.4518
2014-01-04 18:00:00,6.9188,0.034,0.4547
2014-01-04 19:00:00,6.9163,0.034,0.4597
2014-01-04 20:00:00,6.9122,0.0341,0.463
2014-01-04 21:00:00,6.9088,0.0334,0.4628
2014-01-04 22:00:00,6.9102,0.0341,0.4587
2014-01-04 23:00:00,6.9069,0.0343,0.4556
2014-01-05 00:00:00,6.9064,0.0342,0.451
2014-01-05 01:00:00,6.9013,0.0349,0.4457
2014-01-05 02:00:00,6.8994,0.0353,0.439
2014-01-05 03:00:00,6.8978,0.0337,0.4331
2014-01-05 04:00:00,6.8957,0.0321,0.4324
2014-01-05 05:00:00,6.8956,0.0319,0.4336
2014-01-05 06:00:00,6.8963,0.0325,0.4345
2014-01-05 07:00:00,6.9001,0.034,0.4363
2014-01-05 08:00:00,6.9071,0.0338,0.444
2014-01-05 09:00:00,6.9098,0.0325,0.4523
2014-01-05 10:00:00,6.9116,0.0326,0.4555
2014-01-05 11:00:00,6.914,0.0326,0.4518
2014-01-05 12:00:00,6.9166,0.032,0.4493
2014-01-05 13:00:00,6.9117,0.0319,0.4494
2014-01-05 14:00:00,6.9132,0.0315,0.4524
2014-01-05 15:00:00,6.9124,0.0315,0.4542
2014-01-05 16:00:00,6.914,0.0314,0.4555
2014-01-05 17:00:00,6.9128,0.0322,0.4565
2014-01-05 18:00:00,6.9151,0.0328,0.4567
2014-01-05 19:00:00,6.9151,0.0322,0.4583
2014-01-05 20:00:00,6.9119,0.0324,0.4582
2014-01-05 21:00:00,6.9198,0.0322,0.4561
2014-01-05 22:00:00,6.9188,0.0326,0.4546
2014-01-05 23:00:00,6.9228000000000005,0.0323,0.452
2014-01-06 00:00:00,6.9213000000000005,0.0325,0.4482
2014-01-06 01:00:00,6.9175,0.034,0.4424
2014-01-06 02:00:00,6.9164,0.0356,0.4352
2014-01-06 03:00:00,6.917,0.0337,0.4301
2014-01-06 04:00:00,6.9179,0.0316,0.429
2014-01-06 05:00:00,6.9182,0.0309,0.4327
2014-01-06 06:00:00,6.9133,0.0311,0.4354
2014-01-06 07:00:00,6.9097,0.0315,0.4394
2014-01-06 08:00:00,6.9055,0.0315,0.444
2014-01-06 09:00:00,6.9041,0.0314,0.4455
2014-01-06 10:00:00,6.9019,0.0316,0.4468
2014-01-06 11:00:00,6.9002,0.0311,0.4489
2014-01-06 12:00:00,6.904,0.031,0.449
2014-01-06 13:00:00,6.9053,0.0309,0.4459
2014-01-06 14:00:00,6.9084,0.0306,0.4436
2014-01-06 15:00:00,6.9171,0.0314,0.4446
2014-01-06 16:00:00,6.9266000000000005,0.0319,0.4466
2014-01-06 17:00:00,6.9345,0.0322,0.4481
2014-01-06 18:00:00,6.9403,0.0326,0.4536
2014-01-06 19:00:00,6.9348,0.0324,0.4575
2014-01-06 20:00:00,6.9408,0.0326,0.4575
2014-01-06 21:00:00,6.9468,0.0323,0.4564
2014-01-06 22:00:00,6.9498,0.0332,0.4564
2014-01-06 23:00:00,6.9519,0.033,0.4545
2014-01-07 00:00:00,6.9512,0.0329,0.4517
2014-01-07 01:00:00,6.9494,0.0337,0.447
2014-01-07 02:00:00,6.9484,0.0337,0.4397
2014-01-07 03:00:00,6.945,0.0316,0.4312
2014-01-07 04:00:00,6.9474,0.0304,0.4264
2014-01-07 05:00:00,6.9493,0.0308,0.427
2014-01-07 06:00:00,6.9531,0.0311,0.4282
2014-01-07 07:00:00,6.949,0.0311,0.4313
2014-01-07 08:00:00,6.9459,0.0309,0.433
2014-01-07 09:00:00,6.9464,0.0307,0.4367
2014-01-07 10:00:00,6.944,0.0311,0.4382
2014-01-07 11:00:00,6.9467,0.0314,0.442
2014-01-07 12:00:00,6.9432,0.0314,0.4464
2014-01-07 13:00:00,6.9418,0.0315,0.4496
2014-01-07 14:00:00,6.9365,0.0314,0.4512
2014-01-07 15:00:00,6.9382,0.0314,0.4514
2014-01-07 16:00:00,6.9383,0.0316,0.4513
2014-01-07 17:00:00,6.9409,0.0323,0.4525
2014-01-07 18:00:00,6.9395,0.0324,0.4529
2014-01-07 19:00:00,6.9455,0.0322,0.4549
2014-01-07 20:00:00,6.9472000000000005,0.0318,0.459
2014-01-07 21:00:00,6.9486,0.0316,0.4599
2014-01-07 22:00:00,6.9413,0.0315,0.4523
2014-01-07 23:00:00,6.9524,0.0312,0.4577
2014-01-08 00:00:00,6.946,0.0313,0.4543
2014-01-08 01:00:00,6.9463,0.0316,0.4475
2014-01-08 02:00:00,6.9465,0.032,0.4397
2014-01-08 03:00:00,6.9468,0.0312,0.4328
2014-01-08 04:00:00,6.9415,0.0299,0.4297
2014-01-08 05:00:00,6.9376,0.0297,0.4372
2014-01-08 06:00:00,6.9333,0.0304,0.4441
2014-01-08 07:00:00,6.9277,0.0303,0.4421
2014-01-08 08:00:00,6.9227,0.0299,0.4396
2014-01-08 09:00:00,6.921,0.0297,0.4402
2014-01-08 10:00:00,6.9194,0.0299,0.4431
2014-01-08 11:00:00,6.9192,0.03,0.4426
2014-01-08 12:00:00,6.9143,0.0298,0.4423
2014-01-08 13:00:00,6.9192,0.0301,0.4417
2014-01-08 14:00:00,6.916,0.0309,0.4397
2014-01-08 15:00:00,6.9199,0.0315,0.4386
2014-01-08 16:00:00,6.929,0.0311,0.4448
2014-01-08 17:00:00,6.9325,0.0306,0.451
2014-01-08 18:00:00,6.9317,0.0301,0.4542
2014-01-08 19:00:00,6.9302,0.0303,0.4566
2014-01-08 20:00:00,6.9273,0.0306,0.4569
2014-01-08 21:00:00,6.9349,0.0304,0.455
2014-01-08 22:00:00,6.9342,0.0314,0.4547
2014-01-08 23:00:00,6.9381,0.0305,0.4544
2014-01-09 00:00:00,6.934,0.0304,0.4533
2014-01-09 01:00:00,6.9345,0.0302,0.4506
2014-01-09 02:00:00,6.9308,0.0304,0.4487
2014-01-09 03:00:00,6.9273,0.0303,0.4471
2014-01-09 04:00:00,6.9226,0.0296,0.4453
2014-01-09 05:00:00,6.9199,0.0292,0.4454
2014-01-09 06:00:00,6.9208,0.0291,0.4439
2014-01-09 07:00:00,6.9218,0.0296,0.4437
2014-01-09 08:00:00,6.9202,0.0294,0.4448
2014-01-09 09:00:00,6.917,0.0296,0.4478
2014-01-09 10:00:00,6.9149,0.0301,0.4514
2014-01-09 11:00:00,6.9162,0.0297,0.4513
2014-01-09 12:00:00,6.9132,0.0297,0.4498
2014-01-09 13:00:00,6.9159,0.0303,0.4477
2014-01-09 14:00:00,6.9153,0.0309,0.4452
2014-01-09 15:00:00,6.9207,0.0304,0.4447
2014-01-09 16:00:00,6.9226,0.0307,0.4451
2014-01-09 17:00:00,6.9251000000000005,0.0314,0.4465
2014-01-09 18:00:00,6.9235,0.0319,0.4502
2014-01-09 19:00:00,6.9256,0.0333,0.4543
2014-01-09 20:00:00,6.9226,0.0333,0.4568
2014-01-09 21:00:00,6.921,0.0321,0.4572
2014-01-09 22:00:00,6.9264,0.0328,0.4576
2014-01-09 23:00:00,6.923,0.0329,0.4558
2014-01-10 00:00:00,6.9248,0.0338,0.4571
2014-01-10 01:00:00,6.9244,0.0323,0.4627
2014-01-10 02:00:00,6.9206,0.0322,0.464
2014-01-10 03:00:00,6.922,0.031,0.4612
2014-01-10 04:00:00,6.9193,0.0298,0.4589
2014-01-10 05:00:00,6.9194,0.0303,0.4573
2014-01-10 06:00:00,6.9221,0.0307,0.455
2014-01-10 07:00:00,6.9288,0.0311,0.4543
2014-01-10 08:00:00,6.9366,0.0305,0.4545
2014-01-10 09:00:00,6.9426,0.0303,0.4566
2014-01-10 10:00:00,6.9465,0.0305,0.4629
2014-01-10 11:00:00,6.9496,0.0314,0.4717
2014-01-10 12:00:00,6.954,0.0314,0.4748
2014-01-10 13:00:00,6.9515,0.0307,0.4748
2014-01-10 14:00:00,6.9509,0.0307,0.4756
2014-01-10 15:00:00,6.9541,0.0306,0.4773
