date,ph,tb,rc
2014-01-02 10:00:00,7.0779,0.0701,0.8184
2014-01-02 11:00:00,7.0819,0.0694,0.7937000000000001
2014-01-02 12:00:00,7.0821,0.0699,0.8191
2014-01-02 13:00:00,7.0833,0.07,0.7937000000000001
2014-01-02 14:00:00,7.0794,0.07,0.8145
2014-01-02 15:00:00,7.0837,0.0699,0.821
2014-01-02 16:00:00,7.0848,0.0697,0.797
2014-01-02 17:00:00,7.0838,0.0706,0.8063
2014-01-02 18:00:00,7.0869,0.07,0.8001
2014-01-02 19:00:00,7.0907,0.0706,0.7786000000000001
2014-01-02 20:00:00,7.0951,0.0709,0.7906000000000001
2014-01-02 21:00:00,7.0901,0.0709,0.7964
2014-01-02 22:00:00,7.0849,0.071,0.8007000000000001
2014-01-02 23:00:00,7.083,0.07,0.7888000000000001
2014-01-03 00:00:00,7.0693,0.0694,0.7832
2014-01-03 01:00:00,7.0605,0.0684,0.784
2014-01-03 02:00:00,7.0617,0.0684,0.7786000000000001
2014-01-03 03:00:00,7.059,0.0695,0.7944
2014-01-03 04:00:00,7.068,0.0706,0.796
2014-01-03 05:00:00,7.0664,0.0713,0.7999
2014-01-03 06:00:00,7.0692,0.071,0.789
2014-01-03 07:00:00,7.0691,0.07,0.7922
2014-01-03 08:00:00,7.0695,0.0699,0.7782
2014-01-03 09:00:00,7.0759,0.0699,0.7731
2014-01-03 10:00:00,7.0797,0.0688,0.7648
2014-01-03 11:00:00,7.0827,0.0703,0.7927000000000001
2014-01-03 12:00:00,7.0865,0.0706,0.8064
2014-01-03 13:00:00,7.0892,0.0701,0.8046000000000001
2014-01-03 14:00:00,7.084,0.0707,0.8128000000000001
2014-01-03 15:00:00,7.0848,0.0707,0.7914
2014-01-03 16:00:00,7.0824,0.0711,0.7966000000000001
2014-01-03 17:00:00,7.0814,0.0708,0.7903
2014-01-03 18:00:00,7.0846,0.0712,0.7764000000000001
2014-01-03 19:00:00,7.0843,0.0713,0.7805000000000001
2014-01-03 20:00:00,7.083,0.0708,0.7704000000000001
2014-01-03 21:00:00,7.0795,0.0708,0.7736000000000001
2014-01-03 22:00:00,7.0759,0.0712,0.7771
2014-01-03 23:00:00,7.0708,0.0704,0.7857000000000001
2014-01-04 00:00:00,7.0631,0.07,0.7891
2014-01-04 01:00:00,7.0542,0.0695,0.7716000000000001
2014-01-04 02:00:00,7.0461,0.0689,0.7601
2014-01-04 03:00:00,7.0517,0.0709,0.7793
2014-01-04 04:00:00,7.0547,0.0711,0.7823
2014-01-04 05:00:00,7.0591,0.0718,0.7825000000000001
2014-01-04 06:00:00,7.0605,0.0709,0.7837000000000001
2014-01-04 07:00:00,7.0606,0.0711,0.7665000000000001
2014-01-04 08:00:00,7.067,0.0702,0.767
2014-01-04 09:00:00,7.0638,0.0691,0.7537
2014-01-04 10:00:00,7.0761,0.0704,0.7976000000000001
2014-01-04 11:00:00,7.0792,0.071,0.8022
2014-01-04 12:00:00,7.081,0.0703,0.7992
2014-01-04 13:00:00,7.0802,0.0703,0.8023
2014-01-04 14:00:00,7.0792,0.0703,0.7897000000000001
2014-01-04 15:00:00,7.0788,0.0705,0.7815000000000001
2014-01-04 16:00:00,7.0823,0.0707,0.7818
2014-01-04 17:00:00,7.0825,0.0707,0.7892
2014-01-04 18:00:00,7.0699,0.0686,0.7389
2014-01-04 19:00:00,7.0884,0.0717,0.7915000000000001
2014-01-04 20:00:00,7.0846,0.0719,0.7906000000000001
2014-01-04 21:00:00,7.0879,0.072,0.7802
2014-01-04 22:00:00,7.0817,0.0721,0.7837000000000001
2014-01-04 23:00:00,7.0643,0.0711,0.7734000000000001
2014-01-05 00:00:00,7.0598,0.0698,0.7805000000000001
2014-01-05 01:00:00,7.0535,0.0694,0.7701
2014-01-05 02:00:00,7.0471,0.0693,0.778
2014-01-05 03:00:00,7.0499,0.0696,0.7873
2014-01-05 04:00:00,7.0559,0.0696,0.7817000000000001
2014-01-05 05:00:00,7.0591,0.0715,0.763
2014-01-05 06:00:00,7.0594,0.0715,0.7791
2014-01-05 07:00:00,7.0637,0.0704,0.7628
2014-01-05 08:00:00,7.065,0.0705,0.7678
2014-01-05 09:00:00,7.0687,0.0708,0.7765000000000001
2014-01-05 10:00:00,7.0692,0.0706,0.7815000000000001
2014-01-05 11:00:00,7.0752,0.0705,0.8135
2014-01-05 12:00:00,7.0799,0.0704,0.8261000000000001
2014-01-05 13:00:00,7.0765,0.0702,0.8105
2014-01-05 14:00:00,7.0774,0.0698,0.8357
2014-01-05 15:00:00,7.0778,0.0696,0.8057000000000001
2014-01-05 16:00:00,7.0806,0.0701,0.8057000000000001
2014-01-05 17:00:00,7.0805,0.0699,0.8056000000000001
2014-01-05 18:00:00,7.0829,0.0697,0.8018000000000001
2014-01-05 19:00:00,7.0849,0.07,0.7981
2014-01-05 20:00:00,7.0832,0.0707,0.8004
2014-01-05 21:00:00,7.0826,0.071,0.8083
2014-01-05 22:00:00,7.0741,0.0706,0.8124
2014-01-05 23:00:00,7.061,0.0693,0.8083
2014-01-06 00:00:00,7.0514,0.0693,0.7976000000000001
2014-01-06 01:00:00,7.0405,0.0689,0.7903
2014-01-06 02:00:00,7.0359,0.0676,0.7979
2014-01-06 03:00:00,7.0388,0.0685,0.8044
2014-01-06 04:00:00,7.0479,0.0689,0.8049000000000001
2014-01-06 05:00:00,7.0541,0.0699,0.8001
2014-01-06 06:00:00,7.0632,0.0694,0.7756000000000001
2014-01-06 07:00:00,7.0682,0.0697,0.7987000000000001
2014-01-06 08:00:00,7.0694,0.0697,0.8028000000000001
2014-01-06 09:00:00,7.0701,0.0693,0.8057000000000001
2014-01-06 10:00:00,7.0724,0.0695,0.8173
2014-01-06 11:00:00,7.0721,0.0698,0.8052
2014-01-06 12:00:00,7.0771,0.0707,0.8194
2014-01-06 13:00:00,7.0774,0.0704,0.8102
2014-01-06 14:00:00,7.0755,0.0697,0.8079000000000001
2014-01-06 15:00:00,7.0754,0.0699,0.8178000000000001
2014-01-06 16:00:00,7.0825,0.0707,0.8
2014-01-06 17:00:00,7.0855,0.0708,0.7933
2014-01-06 18:00:00,7.0615,0.0663,0.7424000000000001
2014-01-06 19:00:00,7.0926,0.0713,0.788
2014-01-06 20:00:00,7.0914,0.0712,0.8069000000000001
2014-01-06 21:00:00,7.0866,0.0719,0.8098000000000001
2014-01-06 22:00:00,7.0836,0.0717,0.8104
2014-01-06 23:00:00,7.0718,0.071,0.8013
2014-01-07 00:00:00,7.0629,0.0702,0.7999
2014-01-07 01:00:00,7.0581,0.0697,0.8107000000000001
2014-01-07 02:00:00,7.051,0.0688,0.78
2014-01-07 03:00:00,7.0562,0.0705,0.807
2014-01-07 04:00:00,7.067,0.071,0.7978000000000001
2014-01-07 05:00:00,7.069,0.0713,0.7905000000000001
2014-01-07 06:00:00,7.0667,0.0715,0.7784000000000001
2014-01-07 07:00:00,7.071,0.0709,0.7788
2014-01-07 08:00:00,7.0774,0.0714,0.7869
2014-01-07 09:00:00,7.0788,0.0707,0.8034
2014-01-07 10:00:00,7.0743,0.0702,0.7885000000000001
2014-01-07 11:00:00,7.0843,0.0715,0.8019000000000001
2014-01-07 12:00:00,7.0857,0.0718,0.811
2014-01-07 13:00:00,7.0867,0.0716,0.8035
2014-01-07 14:00:00,7.0888,0.072,0.8056000000000001
2014-01-07 15:00:00,7.087,0.0721,0.7992
2014-01-07 16:00:00,7.0892,0.072,0.8075
2014-01-07 17:00:00,7.0872,0.0716,0.7716000000000001
2014-01-07 18:00:00,7.0934,0.073,0.8012
2014-01-07 19:00:00,7.0964,0.0739,0.7737
2014-01-07 20:00:00,7.094,0.073,0.788
2014-01-07 21:00:00,7.0895,0.0736,0.7655000000000001
2014-01-07 22:00:00,7.0817,0.0731,0.8026000000000001
2014-01-07 23:00:00,7.0732,0.072,0.8175
2014-01-08 00:00:00,7.0669,0.0716,0.7492000000000001
2014-01-08 01:00:00,7.0567,0.0709,0.7741
2014-01-08 02:00:00,7.0585,0.0717,0.7564000000000001
2014-01-08 03:00:00,7.0599,0.0723,0.7676000000000001
2014-01-08 04:00:00,7.064,0.0736,0.7594000000000001
2014-01-08 05:00:00,7.0663,0.0735,0.7746000000000001
2014-01-08 06:00:00,7.0724,0.0733,0.7539
2014-01-08 07:00:00,7.0751,0.0723,0.7698
2014-01-08 08:00:00,7.0776,0.0722,0.7766000000000001
2014-01-08 09:00:00,7.0794,0.0723,0.7983
2014-01-08 10:00:00,7.0782,0.0719,0.8035
2014-01-08 11:00:00,7.0814,0.072,0.8071
2014-01-08 12:00:00,7.0822,0.0722,0.8015
2014-01-08 13:00:00,7.0757,0.1187,0.7938000000000001
2014-01-08 14:00:00,7.0749,0.0733,0.7896000000000001
2014-01-08 15:00:00,7.0739,0.0721,0.7918000000000001
2014-01-08 16:00:00,7.0772,0.0721,0.7884
2014-01-08 17:00:00,7.0799,0.0725,0.7915000000000001
2014-01-08 18:00:00,7.085,0.0728,0.7891
2014-01-08 19:00:00,7.0859,0.0732,0.7825000000000001
2014-01-08 20:00:00,7.0911,0.0725,0.7763
2014-01-08 21:00:00,7.0871,0.0733,0.7571
2014-01-08 22:00:00,7.0994,0.0726,0.7494000000000001
2014-01-08 23:00:00,7.0864,0.073,0.754
2014-01-09 00:00:00,7.0767,0.0734,0.767
2014-01-09 01:00:00,7.076,0.0727,0.7878000000000001
2014-01-09 02:00:00,7.0722,0.0724,0.8009000000000001
2014-01-09 03:00:00,7.0728,0.073,0.7882
2014-01-09 04:00:00,7.0736,0.0734,0.7865000000000001
2014-01-09 05:00:00,7.0706,0.0732,0.7841
2014-01-09 06:00:00,7.075,0.0729,0.7675000000000001
2014-01-09 07:00:00,7.0806,0.0719,0.765
2014-01-09 08:00:00,7.0839,0.0714,0.7957000000000001
2014-01-09 09:00:00,7.0833,0.071,0.7912
2014-01-09 10:00:00,7.0821,0.0707,0.7979
2014-01-09 11:00:00,7.0889,0.0707,0.792
2014-01-09 12:00:00,7.094,0.0703,0.8097000000000001
2014-01-09 13:00:00,7.0931,0.0699,0.7973
2014-01-09 14:00:00,7.0876,0.0701,0.7926000000000001
2014-01-09 15:00:00,7.0926,0.0701,0.7795000000000001
2014-01-09 16:00:00,7.0943,0.07,0.7877000000000001
2014-01-09 17:00:00,7.0969,0.0701,0.78
2014-01-09 18:00:00,7.0991,0.07,0.7851
2014-01-09 19:00:00,7.1025,0.071,0.7938000000000001
2014-01-09 20:00:00,7.1007,0.0706,0.7852
2014-01-09 21:00:00,7.1017,0.0709,0.787
2014-01-09 22:00:00,7.0947,0.0709,0.7974
2014-01-09 23:00:00,7.0708,0.0665,0.7067
2014-01-10 00:00:00,7.0807,0.07,0.8045
2014-01-10 01:00:00,7.0797,0.0695,0.7824
2014-01-10 02:00:00,7.0736,0.0693,0.7846000000000001
2014-01-10 03:00:00,7.0783,0.0696,0.7847000000000001
2014-01-10 04:00:00,7.0887,0.071,0.7939
2014-01-10 05:00:00,7.0974,0.0709,0.7993
2014-01-10 06:00:00,7.0993,0.071,0.8084
2014-01-10 07:00:00,7.103,0.0703,0.7926000000000001
2014-01-10 08:00:00,7.1118,0.0712,0.8063
2014-01-10 09:00:00,7.1121,0.0716,0.7945
2014-01-10 10:00:00,7.1097,0.0713,0.813
2014-01-10 11:00:00,7.1101,0.0715,0.78
2014-01-10 12:00:00,7.1138,0.0718,0.8002
2014-01-10 13:00:00,7.1203,0.0714,0.7811
2014-01-10 14:00:00,7.1189,0.072,0.7953
2014-01-10 15:00:00,7.1218,0.0718,0.7908000000000001
2014-01-10 16:00:00,7.1265,0.0719,0.7867000000000001
2014-01-10 17:00:00,7.1241,0.0721,0.7982
2014-01-10 18:00:00,7.1289,0.0723,0.8012
2014-01-10 19:00:00,7.1319,0.0731,0.7779
2014-01-10 20:00:00,7.1289,0.0725,0.7964
2014-01-10 21:00:00,7.1313,0.0732,0.7631
2014-01-10 22:00:00,7.1311,0.0729,0.7647
2014-01-10 23:00:00,7.1227,0.0724,0.7579
2014-01-11 00:00:00,7.1146,0.0717,0.7618
2014-01-11 01:00:00,7.1119,0.0717,0.7572
2014-01-11 02:00:00,7.1063,0.071,0.7716000000000001
2014-01-11 03:00:00,7.1065,0.0716,0.776
2014-01-11 04:00:00,7.11,0.0734,0.7916000000000001
2014-01-11 05:00:00,7.1058,0.0725,0.7829
2014-01-11 06:00:00,7.1166,0.0734,0.7794000000000001
2014-01-11 07:00:00,7.1204,0.073,0.7769
2014-01-11 08:00:00,7.1273,0.073,0.7976000000000001
2014-01-11 09:00:00,7.1275,0.0733,0.7971
2014-01-11 10:00:00,7.127032000000001,0.07330400000000001,0.797872
2014-01-11 11:00:00,7.126564,0.073308,0.798644
2014-01-11 12:00:00,7.126096,0.073312,0.799416
2014-01-11 13:00:00,7.125628000000001,0.073316,0.800188
2014-01-11 14:00:00,7.12516,0.07332000000000001,0.80096
2014-01-11 15:00:00,7.1246920000000005,0.073324,0.801732
2014-01-11 16:00:00,7.124224,0.073328,0.802504
2014-01-11 17:00:00,7.123756,0.07333200000000001,0.803276
2014-01-11 18:00:00,7.1232880000000005,0.073336,0.804048
2014-01-11 19:00:00,7.12282,0.07334,0.80482
2014-01-11 20:00:00,7.122352,0.073344,0.805592
2014-01-11 21:00:00,7.1218840000000005,0.07334800000000001,0.806364
2014-01-11 22:00:00,7.121416,0.073352,0.8071360000000001
2014-01-11 23:00:00,7.120948,0.073356,0.8079080000000001
