date,ph,tb,rc
2014-01-02 01:00:00,7.3488,0.1884,0.8054
2014-01-02 02:00:00,7.3486,0.1738,0.8027000000000001
2014-01-02 03:00:00,7.3508,0.1603,0.7989
2014-01-02 04:00:00,7.3503,0.1471,0.792
2014-01-02 05:00:00,7.3494,0.1353,0.7869
2014-01-02 06:00:00,7.3577,0.1257,0.786
2014-01-02 07:00:00,7.3592,0.1183,0.7815000000000001
2014-01-02 08:00:00,7.3614,0.1134,0.7834
2014-01-02 09:00:00,7.3646,0.1103,0.7811
2014-01-02 10:00:00,7.3633,0.1092,0.7835000000000001
2014-01-02 11:00:00,7.3617,0.1142,0.7881
2014-01-02 12:00:00,7.3541,0.1311,0.7978000000000001
2014-01-02 13:00:00,7.3474,0.1717,0.8014
2014-01-02 14:00:00,7.3444,0.245,0.8031
2014-01-02 15:00:00,7.3404,0.32,0.8167000000000001
2014-01-02 16:00:00,7.3373,0.3812,0.8351000000000001
2014-01-02 17:00:00,7.3332,0.4245,0.8373
2014-01-02 18:00:00,7.3416,0.4514,0.828
2014-01-02 19:00:00,7.3491,0.4453,0.8266
2014-01-02 20:00:00,7.3502,0.4043,0.8294
2014-01-02 21:00:00,7.3531,0.3508,0.8397
2014-01-02 22:00:00,7.359,0.3055,0.8462000000000001
2014-01-02 23:00:00,7.3584,0.2663,0.8507
2014-01-03 00:00:00,7.3666,0.2294,0.8574
2014-01-03 01:00:00,7.3685,0.1947,0.8424
2014-01-03 02:00:00,7.3701,0.1654,0.86
2014-01-03 03:00:00,7.3644,0.1421,0.8671000000000001
2014-01-03 04:00:00,7.3656,0.1258,0.869
2014-01-03 05:00:00,7.3658,0.1174,0.8637
2014-01-03 06:00:00,7.3644,0.1127,0.8717
2014-01-03 07:00:00,7.3632,0.1098,0.8699
2014-01-03 08:00:00,7.3634,0.1074,0.8859
2014-01-03 09:00:00,7.3592,0.1058,0.886
2014-01-03 10:00:00,7.3607,0.1048,0.8919
2014-01-03 11:00:00,7.3607,0.1057,0.8912
2014-01-03 12:00:00,7.3543,0.1109,0.9029
2014-01-03 13:00:00,7.3499,0.1265,0.9049
2014-01-03 14:00:00,7.3463,0.1661,0.9058
2014-01-03 15:00:00,7.34,0.2266,0.9106
2014-01-03 16:00:00,7.3349,0.2943,0.9067
2014-01-03 17:00:00,7.3328,0.3549,0.9002
2014-01-03 18:00:00,7.337,0.3986,0.8944000000000001
2014-01-03 19:00:00,7.3377,0.41,0.8867
2014-01-03 20:00:00,7.3358,0.3848,0.8867
2014-01-03 21:00:00,7.3334,0.343,0.8949
2014-01-03 22:00:00,7.3368,0.2994,0.8864000000000001
2014-01-03 23:00:00,7.3336,0.2608,0.8905000000000001
2014-01-04 00:00:00,7.3306,0.2244,0.8903000000000001
2014-01-04 01:00:00,7.3242,0.1926,0.8907
2014-01-04 02:00:00,7.3289,0.1687,0.8884000000000001
2014-01-04 03:00:00,7.3315,0.1492,0.8806
2014-01-04 04:00:00,7.3337,0.135,0.8768
2014-01-04 05:00:00,7.3277,0.1279,0.8728
2014-01-04 06:00:00,7.3286,0.1239,0.8653000000000001
2014-01-04 07:00:00,7.3299,0.1196,0.86
2014-01-04 08:00:00,7.3282,0.1154,0.8583000000000001
2014-01-04 09:00:00,7.327,0.1119,0.8539
2014-01-04 10:00:00,7.3235,0.11,0.8562000000000001
2014-01-04 11:00:00,7.3172,0.1138,0.8698
