date,ph,tb,rc
2014-01-02 01:00:00,7.502,0.0548,0.95
2014-01-02 02:00:00,7.5014,0.0548,0.95
2014-01-02 03:00:00,7.5023,0.0549,0.95
2014-01-02 04:00:00,7.5057,0.0546,0.9706
2014-01-02 05:00:00,7.5071,0.0547,0.9683
2014-01-02 06:00:00,7.5076,0.0547,0.9705
2014-01-02 07:00:00,7.5074,0.0546,0.974
2014-01-02 08:00:00,7.507,0.0547,0.9731
2014-01-02 09:00:00,7.5034,0.055,0.9915
2014-01-02 10:00:00,7.5039,0.0547,0.9873
2014-01-02 11:00:00,7.503,0.0548,0.9474
2014-01-02 12:00:00,7.5035,0.0547,0.9334
2014-01-02 13:00:00,7.5025,0.0545,0.9184
2014-01-02 14:00:00,7.5001,0.0545,0.9138
2014-01-02 15:00:00,7.4947,0.0544,0.9154
2014-01-02 16:00:00,7.4937,0.0545,0.9198
2014-01-02 17:00:00,7.4964,0.0545,0.9165
2014-01-02 18:00:00,7.4921,0.0548,0.9138
2014-01-02 19:00:00,7.4879,0.0547,0.9206
2014-01-02 20:00:00,7.4944,0.0548,0.9173
2014-01-02 21:00:00,7.4897,0.0551,0.9055
2014-01-02 22:00:00,7.4892,0.0552,0.9052
2014-01-02 23:00:00,7.4894,0.0554,0.9083
2014-01-03 00:00:00,7.4902,0.0554,0.9119
2014-01-03 01:00:00,7.4882,0.0556,0.9121
2014-01-03 02:00:00,7.481,0.0559,0.9437
2014-01-03 03:00:00,7.4803,0.0554,0.9547
2014-01-03 04:00:00,7.486,0.0562,0.9234
2014-01-03 05:00:00,7.4869,0.0563,0.9322
2014-01-03 06:00:00,7.4929,0.0555,0.9104
2014-01-03 07:00:00,7.4877,0.0551,0.9398
2014-01-03 08:00:00,7.4824,0.0549,0.9532
2014-01-03 09:00:00,7.4802,0.0549,0.9591
2014-01-03 10:00:00,7.4812,0.0549,0.9601
2014-01-03 11:00:00,7.487,0.055,0.9468
2014-01-03 12:00:00,7.4925,0.0554,0.9377
2014-01-03 13:00:00,7.4969,0.0553,0.9339
2014-01-03 14:00:00,7.4921,0.0553,0.9287
2014-01-03 15:00:00,7.4728,0.0552,0.933
2014-01-03 16:00:00,7.4662,0.055,0.9464
2014-01-03 17:00:00,7.4679,0.0549,0.9467
2014-01-03 18:00:00,7.4615,0.0548,0.9361
2014-01-03 19:00:00,7.4616,0.0548,0.9306
2014-01-03 20:00:00,7.4615,0.0548,0.9272
2014-01-03 21:00:00,7.461,0.0548,0.9249
2014-01-03 22:00:00,7.4587,0.0551,0.9322
2014-01-03 23:00:00,7.4586,0.0553,0.9353
2014-01-04 00:00:00,7.4606,0.0555,0.9347
2014-01-04 01:00:00,7.4648,0.0552,0.9313
2014-01-04 02:00:00,7.4647,0.0553,0.9345
2014-01-04 03:00:00,7.4679,0.0554,0.9216
2014-01-04 04:00:00,7.4763,0.055,0.9381
2014-01-04 05:00:00,7.4801,0.0549,0.9486
2014-01-04 06:00:00,7.4837,0.0547,0.9517
2014-01-04 07:00:00,7.4811,0.0546,0.9606
2014-01-04 08:00:00,7.4796,0.0547,0.9605
2014-01-04 09:00:00,7.4804,0.0547,0.947
2014-01-04 10:00:00,7.4786,0.0547,0.9347
2014-01-04 11:00:00,7.4803,0.0548,0.9244
2014-01-04 12:00:00,7.4841,0.0548,0.9073
2014-01-04 13:00:00,7.4897,0.0547,0.9061
2014-01-04 14:00:00,7.4879,0.0546,0.92
2014-01-04 15:00:00,7.4866,0.0549,0.9161
2014-01-04 16:00:00,7.4854,0.0548,0.9211
2014-01-04 17:00:00,7.4793,0.0547,0.9312
2014-01-04 18:00:00,7.477,0.0548,0.9381
2014-01-04 19:00:00,7.4768,0.0546,0.9424
2014-01-04 20:00:00,7.4807,0.0545,0.9464
2014-01-04 21:00:00,7.4812,0.0545,0.9486
2014-01-04 22:00:00,7.482,0.0546,0.9413
2014-01-04 23:00:00,7.4859,0.0546,0.9257
2014-01-05 00:00:00,7.4888,0.0549,0.9356
2014-01-05 01:00:00,7.4894,0.0547,0.9395
2014-01-05 02:00:00,7.494,0.055,0.9337
2014-01-05 03:00:00,7.4945,0.0552,0.954
2014-01-05 04:00:00,7.4933,0.0552,0.9678
2014-01-05 05:00:00,7.4911,0.0553,0.9965
2014-01-05 06:00:00,7.4867,0.055,1.0217
2014-01-05 07:00:00,7.4831,0.055,1.0374
2014-01-05 08:00:00,7.4801,0.0549,0.9913
2014-01-05 09:00:00,7.4836,0.0548,0.995
2014-01-05 10:00:00,7.4978,0.0549,0.9447
2014-01-05 11:00:00,7.4982,0.055,0.9272
2014-01-05 12:00:00,7.4921,0.0551,0.926
2014-01-05 13:00:00,7.4899,0.0549,0.9289
2014-01-05 14:00:00,7.4864,0.055,0.9111
2014-01-05 15:00:00,7.4806,0.0552,0.9228
2014-01-05 16:00:00,7.4764,0.0556,0.9177
2014-01-05 17:00:00,7.4717,0.0552,0.9156
2014-01-05 18:00:00,7.4636,0.0549,0.9194
2014-01-05 19:00:00,7.4616,0.0548,0.9452
2014-01-05 20:00:00,7.4622,0.0546,0.9554
2014-01-05 21:00:00,7.4645,0.0545,0.9405
2014-01-05 22:00:00,7.4663,0.0546,0.9313
2014-01-05 23:00:00,7.4699,0.0546,0.9256
2014-01-06 00:00:00,7.4715,0.0547,0.915
2014-01-06 01:00:00,7.4685,0.0548,0.9326
2014-01-06 02:00:00,7.4699,0.0551,0.9712
2014-01-06 03:00:00,7.4698,0.055,0.9824
2014-01-06 04:00:00,7.4715,0.055,0.9742
