date,ph,tb,rc
2014-01-02 01:00:00,7.3295,0.0228,0.7416
2014-01-02 02:00:00,7.331,0.0227,0.7408
2014-01-02 03:00:00,7.3333,0.0228,0.7392000000000001
2014-01-02 04:00:00,7.3343,0.0229,0.736
2014-01-02 05:00:00,7.3353,0.0228,0.7353000000000001
2014-01-02 06:00:00,7.3398,0.0229,0.7321000000000001
2014-01-02 07:00:00,7.3377,0.0228,0.7293000000000001
2014-01-02 08:00:00,7.3346,0.0228,0.7295
2014-01-02 09:00:00,7.3348,0.0234,0.7331000000000001
2014-01-02 10:00:00,7.335,0.0253,0.7385
2014-01-02 11:00:00,7.3345,0.0258,0.7482000000000001
2014-01-02 12:00:00,7.3371,0.0253,0.7617
2014-01-02 13:00:00,7.3435,0.0245,0.7686000000000001
2014-01-02 14:00:00,7.3509,0.0237,0.7678
2014-01-02 15:00:00,7.356,0.0232,0.7589
2014-01-02 16:00:00,7.3541,0.023,0.7534000000000001
2014-01-02 17:00:00,7.3501,0.023,0.758
2014-01-02 18:00:00,7.3443,0.0228,0.753
2014-01-02 19:00:00,7.3365,0.0228,0.7477
2014-01-02 20:00:00,7.3286,0.0228,0.7469
2014-01-02 21:00:00,7.3258,0.0229,0.7475
2014-01-02 22:00:00,7.3264,0.0228,0.7514000000000001
2014-01-02 23:00:00,7.328699999999999,0.0228,0.7605000000000001
2014-01-03 00:00:00,7.334,0.0228,0.7694000000000001
2014-01-03 01:00:00,7.3386,0.0229,0.7705000000000001
2014-01-03 02:00:00,7.3491,0.0229,0.7691
2014-01-03 03:00:00,7.3534,0.0229,0.7676000000000001
2014-01-03 04:00:00,7.3538,0.0229,0.7663000000000001
2014-01-03 05:00:00,7.3579,0.0229,0.7648
2014-01-03 06:00:00,7.3617,0.023,0.7629
2014-01-03 07:00:00,7.3588,0.0229,0.7606
2014-01-03 08:00:00,7.3594,0.023,0.7613000000000001
2014-01-03 09:00:00,7.359,0.0232,0.7632
2014-01-03 10:00:00,7.3593,0.0232,0.7691
2014-01-03 11:00:00,7.3592,0.0237,0.7729
2014-01-03 12:00:00,7.3563,0.0235,0.7743
2014-01-03 13:00:00,7.3514,0.0238,0.777
2014-01-03 14:00:00,7.349,0.0234,0.7837000000000001
2014-01-03 15:00:00,7.3455,0.0231,0.7918000000000001
2014-01-03 16:00:00,7.3384,0.0229,0.7907000000000001
2014-01-03 17:00:00,7.3359,0.0228,0.7859
2014-01-03 18:00:00,7.3327,0.0227,0.7785000000000001
2014-01-03 19:00:00,7.3279,0.0227,0.7709
2014-01-03 20:00:00,7.3269,0.0228,0.7608
2014-01-03 21:00:00,7.3241,0.0228,0.7544000000000001
2014-01-03 22:00:00,7.3234,0.0228,0.7522000000000001
2014-01-03 23:00:00,7.32,0.0228,0.7562
2014-01-04 00:00:00,7.3225,0.0228,0.755
2014-01-04 01:00:00,7.3285,0.0228,0.7514000000000001
2014-01-04 02:00:00,7.3338,0.0228,0.7522000000000001
2014-01-04 03:00:00,7.3347,0.0228,0.7532
2014-01-04 04:00:00,7.3427,0.0229,0.7538
