date,ph,tb,rc
2014-01-02 01:00:00,6.9971,0.0363,0.8505
2014-01-02 02:00:00,6.9985,0.0363,0.852
2014-01-02 03:00:00,6.9982,0.0363,0.8514
2014-01-02 04:00:00,6.9986,0.0363,0.8548
2014-01-02 05:00:00,6.9998000000000005,0.0363,0.8568
2014-01-02 06:00:00,6.9963,0.0363,0.8563000000000001
2014-01-02 07:00:00,6.9968,0.0363,0.8546
2014-01-02 08:00:00,6.9969,0.0363,0.8529
2014-01-02 09:00:00,6.9994,0.0363,0.8513000000000001
2014-01-02 10:00:00,6.9965,0.0363,0.8467
2014-01-02 11:00:00,6.9972,0.0363,0.8423
2014-01-02 12:00:00,6.9959,0.0363,0.8395
2014-01-02 13:00:00,6.9977,0.0363,0.836
2014-01-02 14:00:00,7.0017,0.0363,0.8334
2014-01-02 15:00:00,7.0007,0.042,0.8348
2014-01-02 16:00:00,7.001,0.0403,0.845
2014-01-02 17:00:00,6.9992,0.0377,0.8579
2014-01-02 18:00:00,6.9931,0.037,0.8758
2014-01-02 19:00:00,6.9876000000000005,0.0369,0.8853000000000001
2014-01-02 20:00:00,6.9937000000000005,0.0369,0.8908
2014-01-02 21:00:00,6.9956,0.0369,0.8932
2014-01-02 22:00:00,6.9934,0.0369,0.8927
2014-01-02 23:00:00,6.9883,0.0369,0.8832000000000001
2014-01-03 00:00:00,6.9924,0.0369,0.8709
2014-01-03 01:00:00,6.9849,0.0369,0.8657
2014-01-03 02:00:00,6.9917,0.0369,0.8661000000000001
2014-01-03 03:00:00,7.0064,0.0369,0.866
2014-01-03 04:00:00,7.0101,0.0369,0.865
2014-01-03 05:00:00,7.0217,0.0367,0.8611000000000001
2014-01-03 06:00:00,7.0244,0.0363,0.8551000000000001
2014-01-03 07:00:00,7.023,0.0363,0.852
2014-01-03 08:00:00,7.0254,0.0363,0.8505
2014-01-03 09:00:00,7.0294,0.0363,0.849
2014-01-03 10:00:00,7.0264,0.0363,0.8465
2014-01-03 11:00:00,7.02,0.0363,0.8458
2014-01-03 12:00:00,7.0207,0.0363,0.846
2014-01-03 13:00:00,7.0177,0.0363,0.8469
2014-01-03 14:00:00,7.0161,0.0363,0.8491000000000001
2014-01-03 15:00:00,7.0,0.0373,0.8505
2014-01-03 16:00:00,6.9972,0.0377,0.8518
2014-01-03 17:00:00,6.9922,0.0369,0.8521000000000001
2014-01-03 18:00:00,6.9963,0.0369,0.8524
2014-01-03 19:00:00,6.9917,0.0369,0.8498
2014-01-03 20:00:00,6.9908,0.0369,0.8476
2014-01-03 21:00:00,6.9917,0.0369,0.8466
2014-01-03 22:00:00,6.9937000000000005,0.0369,0.8475
2014-01-03 23:00:00,6.9836,0.0369,0.8494
2014-01-04 00:00:00,6.9829,0.0369,0.8554
2014-01-04 01:00:00,6.9874,0.0369,0.8608
2014-01-04 02:00:00,6.985,0.0369,0.862
2014-01-04 03:00:00,6.9793,0.0369,0.8642000000000001
2014-01-04 04:00:00,6.9914000000000005,0.0369,0.8631000000000001
2014-01-04 05:00:00,6.9953,0.0369,0.865
2014-01-04 06:00:00,6.9944,0.0369,0.8655
2014-01-04 07:00:00,7.0012,0.0369,0.8685
2014-01-04 08:00:00,7.0022,0.0369,0.8686
2014-01-04 09:00:00,7.0046,0.0369,0.8664000000000001
2014-01-04 10:00:00,7.006,0.0369,0.8625
2014-01-04 11:00:00,7.007,0.0369,0.8568
2014-01-04 12:00:00,6.9987,0.0369,0.8556
2014-01-04 13:00:00,7.0106,0.0369,0.8546
2014-01-04 14:00:00,7.009,0.0369,0.853
2014-01-04 15:00:00,7.0047,0.0375,0.8527
2014-01-04 16:00:00,6.9979,0.0378,0.8512000000000001
2014-01-04 17:00:00,6.9953,0.0369,0.8481000000000001
2014-01-04 18:00:00,7.0032,0.0369,0.8455
2014-01-04 19:00:00,6.9955,0.0369,0.8437
2014-01-04 20:00:00,6.9903,0.0369,0.8427
2014-01-04 21:00:00,6.9892,0.0369,0.8424
2014-01-04 22:00:00,6.9963,0.0369,0.8439000000000001
2014-01-04 23:00:00,6.9925,0.0369,0.8458
2014-01-05 00:00:00,6.987,0.0369,0.8449000000000001
2014-01-05 01:00:00,6.9945,0.0369,0.8447
2014-01-05 02:00:00,6.9948,0.0369,0.8447
2014-01-05 03:00:00,6.9907,0.0369,0.8457
2014-01-05 04:00:00,6.9928,0.0369,0.8479
2014-01-05 05:00:00,6.9974,0.0369,0.8531000000000001
2014-01-05 06:00:00,6.9983,0.0369,0.8512000000000001
2014-01-05 07:00:00,7.0023,0.0369,0.848
2014-01-05 08:00:00,7.0128,0.0369,0.8463
2014-01-05 09:00:00,7.0106,0.0369,0.8479
2014-01-05 10:00:00,7.0113,0.0369,0.8507
2014-01-05 11:00:00,7.0057,0.0369,0.8512000000000001
2014-01-05 12:00:00,7.0042,0.0369,0.8539
2014-01-05 13:00:00,6.9987,0.0369,0.8572000000000001
