date,ph,tb,rc
2014-01-02 01:00:00,7.4186,0.0788,0.637
2014-01-02 02:00:00,7.418,0.0789,0.6386000000000001
2014-01-02 03:00:00,7.4154,0.0789,0.6383
2014-01-02 04:00:00,7.4133,0.0806,0.6359
2014-01-02 05:00:00,7.4049,0.0788,0.6319
2014-01-02 06:00:00,7.3982,0.0788,0.6394000000000001
2014-01-02 07:00:00,7.3924,0.0789,0.6398
2014-01-02 08:00:00,7.3945,0.0789,0.6356
2014-01-02 09:00:00,7.3975,0.079,0.6163000000000001
2014-01-02 10:00:00,7.3976,0.0787,0.614
2014-01-02 11:00:00,7.4011,0.0787,0.618
2014-01-02 12:00:00,7.3975,0.0788,0.626
2014-01-02 13:00:00,7.3947,0.0787,0.6362
2014-01-02 14:00:00,7.4013,0.0787,0.6406000000000001
2014-01-02 15:00:00,7.4069,0.0786,0.6355000000000001
2014-01-02 16:00:00,7.4074,0.0785,0.6311
2014-01-02 17:00:00,7.4058,0.0786,0.6309
2014-01-02 18:00:00,7.4065,0.0785,0.6293000000000001
2014-01-02 19:00:00,7.4068,0.0786,0.6227
2014-01-02 20:00:00,7.4177,0.0787,0.6219
2014-01-02 21:00:00,7.4207,0.0788,0.6244000000000001
2014-01-02 22:00:00,7.4264,0.0789,0.627
2014-01-02 23:00:00,7.4355,0.0789,0.6261
2014-01-03 00:00:00,7.4368,0.079,0.6275000000000001
2014-01-03 01:00:00,7.4316,0.0789,0.6243000000000001
2014-01-03 02:00:00,7.4342,0.0788,0.6134000000000001
2014-01-03 03:00:00,7.4365,0.0787,0.6158
2014-01-03 04:00:00,7.4365,0.0807,0.6191
2014-01-03 05:00:00,7.4364,0.0789,0.6172000000000001
2014-01-03 06:00:00,7.439,0.0789,0.6109
2014-01-03 07:00:00,7.442,0.0789,0.5984
2014-01-03 08:00:00,7.4484,0.079,0.5984
2014-01-03 09:00:00,7.4589,0.0788,0.6113000000000001
2014-01-03 10:00:00,7.4657,0.0789,0.6209
2014-01-03 11:00:00,7.4632,0.0789,0.6451
2014-01-03 12:00:00,7.4541,0.0787,0.7029000000000001
2014-01-03 13:00:00,7.451,0.0787,0.7025
2014-01-03 14:00:00,7.4457,0.0785,0.7044
2014-01-03 15:00:00,7.44,0.0782,0.7013
2014-01-03 16:00:00,7.4387,0.0782,0.6892
2014-01-03 17:00:00,7.4372,0.0782,0.6892
2014-01-03 18:00:00,7.4324,0.0782,0.6984
2014-01-03 19:00:00,7.432,0.0784,0.7073
2014-01-03 20:00:00,7.43,0.0784,0.711
2014-01-03 21:00:00,7.425,0.0785,0.708
2014-01-03 22:00:00,7.4275,0.0787,0.6986
2014-01-03 23:00:00,7.4249,0.0787,0.6879000000000001
2014-01-04 00:00:00,7.4181,0.0787,0.6867000000000001
2014-01-04 01:00:00,7.4205,0.0787,0.6901
2014-01-04 02:00:00,7.4266,0.0786,0.6913
2014-01-04 03:00:00,7.4295,0.0785,0.694
2014-01-04 04:00:00,7.4287,0.0811,0.6871
2014-01-04 05:00:00,7.4206,0.0783,0.6765
2014-01-04 06:00:00,7.4223,0.0784,0.6703
2014-01-04 07:00:00,7.4209,0.0784,0.6707000000000001
2014-01-04 08:00:00,7.4196,0.0784,0.6843
2014-01-04 09:00:00,7.4244,0.0785,0.689
2014-01-04 10:00:00,7.43,0.0788,0.6906
2014-01-04 11:00:00,7.4358,0.0787,0.7001000000000001
2014-01-04 12:00:00,7.4397,0.0787,0.723
2014-01-04 13:00:00,7.443,0.0787,0.7208
2014-01-04 14:00:00,7.443,0.0786,0.7267
2014-01-04 15:00:00,7.4345,0.0797,0.7245
2014-01-04 16:00:00,7.3862,0.0729,0.6629
2014-01-04 17:00:00,7.4172,0.0788,0.7099000000000001
2014-01-04 18:00:00,7.4106,0.0787,0.6929000000000001
2014-01-04 19:00:00,7.4145,0.0785,0.6988000000000001
2014-01-04 20:00:00,7.4196,0.0796,0.7111000000000001
2014-01-04 21:00:00,7.4159,0.0801,0.7169
2014-01-04 22:00:00,7.4219,0.0791,0.7135
2014-01-04 23:00:00,7.4176,0.079,0.7121000000000001
2014-01-05 00:00:00,7.4097,0.0789,0.7121000000000001
2014-01-05 01:00:00,7.4099,0.0787,0.7024
2014-01-05 02:00:00,7.4103,0.0786,0.6988000000000001
2014-01-05 03:00:00,7.4055,0.0785,0.6992
2014-01-05 04:00:00,7.3906,0.0806,0.6912
2014-01-05 05:00:00,7.3914,0.0783,0.6747000000000001
2014-01-05 06:00:00,7.3986,0.0782,0.6787000000000001
2014-01-05 07:00:00,7.4076,0.0782,0.6866
2014-01-05 08:00:00,7.4116,0.0781,0.6901
2014-01-05 09:00:00,7.4168,0.0781,0.6849000000000001
2014-01-05 10:00:00,7.4244,0.0781,0.6907
2014-01-05 11:00:00,7.4361,0.0784,0.6975
2014-01-05 12:00:00,7.4423,0.0782,0.7071000000000001
2014-01-05 13:00:00,7.4478,0.0782,0.7063
2014-01-05 14:00:00,7.4489,0.0786,0.7183
2014-01-05 15:00:00,7.4402,0.0802,0.7463000000000001
2014-01-05 16:00:00,7.4346,0.0787,0.7442000000000001
2014-01-05 17:00:00,7.4248,0.0784,0.7386
2014-01-05 18:00:00,7.4136,0.0784,0.7179
2014-01-05 19:00:00,7.404,0.0784,0.7375
2014-01-05 20:00:00,7.4023,0.0784,0.7419
2014-01-05 21:00:00,7.3973,0.0785,0.7341000000000001
2014-01-05 22:00:00,7.4,0.0784,0.7291000000000001
2014-01-05 23:00:00,7.4048,0.0783,0.7349
2014-01-06 00:00:00,7.3939,0.0784,0.7352000000000001
2014-01-06 01:00:00,7.3908,0.0784,0.7335
2014-01-06 02:00:00,7.3934,0.0788,0.7349
2014-01-06 03:00:00,7.3921,0.0798,0.7301000000000001
2014-01-06 04:00:00,7.3937,0.0817,0.7332000000000001
2014-01-06 05:00:00,7.3946,0.0789,0.7363000000000001
2014-01-06 06:00:00,7.3968,0.0788,0.734
2014-01-06 07:00:00,7.3996,0.0787,0.7332000000000001
2014-01-06 08:00:00,7.4013,0.0789,0.7393000000000001
2014-01-06 09:00:00,7.4028,0.0787,0.7458
2014-01-06 10:00:00,7.4038,0.0788,0.7383000000000001
2014-01-06 11:00:00,7.4059,0.0788,0.7238
2014-01-06 12:00:00,7.4076,0.0788,0.7223
2014-01-06 13:00:00,7.4144,0.0788,0.7075
2014-01-06 14:00:00,7.4094,0.0785,0.7134
2014-01-06 15:00:00,7.3975,0.0785,0.7095
2014-01-06 16:00:00,7.3933,0.0785,0.7198
2014-01-06 17:00:00,7.3947,0.0785,0.7289
2014-01-06 18:00:00,7.3967,0.0786,0.724
2014-01-06 19:00:00,7.3951,0.0787,0.7279
2014-01-06 20:00:00,7.3985,0.0787,0.7407
2014-01-06 21:00:00,7.4029,0.0788,0.7529
2014-01-06 22:00:00,7.4115,0.079,0.7631
2014-01-06 23:00:00,7.4343,0.0794,0.738
2014-01-07 00:00:00,7.4483,0.0793,0.7615000000000001
2014-01-07 01:00:00,7.449,0.0791,0.755
2014-01-07 02:00:00,7.4446,0.0791,0.748
2014-01-07 03:00:00,7.431,0.079,0.7513000000000001
2014-01-07 04:00:00,7.3978,0.0806,0.74
2014-01-07 05:00:00,7.3802,0.0785,0.728
2014-01-07 06:00:00,7.3748,0.0786,0.7214
2014-01-07 07:00:00,7.3814,0.0786,0.713
2014-01-07 08:00:00,7.3903,0.0787,0.7128
2014-01-07 09:00:00,7.391,0.0788,0.7153
2014-01-07 10:00:00,7.3889,0.0788,0.7228
2014-01-07 11:00:00,7.3878,0.0787,0.7205
2014-01-07 12:00:00,7.3931,0.0787,0.7218
2014-01-07 13:00:00,7.3943,0.0787,0.7358
