date,ph,tb,rc
2014-01-02 01:00:00,6.8862,0.0546,0.4125
2014-01-02 02:00:00,6.8892,0.0545,0.422
2014-01-02 03:00:00,6.8822,0.0545,0.4216
2014-01-02 04:00:00,6.8843,0.0545,0.4153
2014-01-02 05:00:00,6.8829,0.0545,0.4161
2014-01-02 06:00:00,6.8801,0.0545,0.4128
2014-01-02 07:00:00,6.8818,0.0545,0.4132
2014-01-02 08:00:00,6.8828,0.0549,0.4062
2014-01-02 09:00:00,6.886,0.0551,0.4105
2014-01-02 10:00:00,6.8768,0.0553,0.4171
2014-01-02 11:00:00,6.881,0.0553,0.415
2014-01-02 12:00:00,6.8825,0.0554,0.4091
2014-01-02 13:00:00,6.8897,0.056,0.4026
2014-01-02 14:00:00,6.8951,0.0563,0.4033
2014-01-02 15:00:00,6.8935,0.0589,0.399
2014-01-02 16:00:00,6.8886,0.0574,0.3965
2014-01-02 17:00:00,6.8894,0.0552,0.3936
2014-01-02 18:00:00,6.8888,0.0551,0.3933
2014-01-02 19:00:00,6.8893,0.055,0.3926
2014-01-02 20:00:00,6.8944,0.0549,0.3962
2014-01-02 21:00:00,6.8956,0.0549,0.4012
2014-01-02 22:00:00,6.8935,0.0548,0.4039
2014-01-02 23:00:00,6.8908000000000005,0.0547,0.4064
2014-01-03 00:00:00,6.8888,0.0546,0.408
2014-01-03 01:00:00,6.8904,0.0545,0.4102
2014-01-03 02:00:00,6.8898,0.0545,0.4088
2014-01-03 03:00:00,6.8909,0.0546,0.4114
2014-01-03 04:00:00,6.8929,0.0544,0.4123
2014-01-03 05:00:00,6.8924,0.0545,0.4126
2014-01-03 06:00:00,6.8892,0.0546,0.4164
2014-01-03 07:00:00,6.8836,0.0546,0.4167
2014-01-03 08:00:00,6.8824000000000005,0.0546,0.4142
2014-01-03 09:00:00,6.8859,0.0551,0.4137
2014-01-03 10:00:00,6.8931,0.0551,0.4163
2014-01-03 11:00:00,6.8933,0.0554,0.4168
2014-01-03 12:00:00,6.8758,0.0587,0.4028
2014-01-03 13:00:00,6.8788,0.0587,0.4009
2014-01-03 14:00:00,6.8746,0.0586,0.402
2014-01-03 15:00:00,6.8704,0.0649,0.3919
2014-01-03 16:00:00,6.8591,0.0626,0.3917
2014-01-03 17:00:00,6.8586,0.0601,0.3911
2014-01-03 18:00:00,6.861,0.0599,0.3905
2014-01-03 19:00:00,6.8606,0.0593,0.3913
2014-01-03 20:00:00,6.8587,0.0594,0.3957
2014-01-03 21:00:00,6.8583,0.0587,0.3961
2014-01-03 22:00:00,6.8672,0.0582,0.4019
2014-01-03 23:00:00,6.871,0.058,0.4014
2014-01-04 00:00:00,6.8684,0.0579,0.3969
2014-01-04 01:00:00,6.8726,0.0576,0.3937
2014-01-04 02:00:00,6.8704,0.0579,0.3953
2014-01-04 03:00:00,6.8696,0.058,0.3971
2014-01-04 04:00:00,6.8714,0.0581,0.3971
2014-01-04 05:00:00,6.8741,0.058,0.3973
2014-01-04 06:00:00,6.8752,0.0574,0.4041
2014-01-04 07:00:00,6.88,0.0569,0.4055
2014-01-04 08:00:00,6.8751,0.0567,0.4052
2014-01-04 09:00:00,6.8836,0.0573,0.4076
2014-01-04 10:00:00,6.8804,0.0577,0.4078
2014-01-04 11:00:00,6.8783,0.058,0.4004
2014-01-04 12:00:00,6.8879,0.0581,0.3934
2014-01-04 13:00:00,6.8897,0.0582,0.3964
2014-01-04 14:00:00,6.8917,0.0592,0.3929
2014-01-04 15:00:00,6.8857,0.0603,0.3918
2014-01-04 16:00:00,6.8859,0.0588,0.3911
2014-01-04 17:00:00,6.8837,0.0575,0.391
2014-01-04 18:00:00,6.8835,0.0572,0.3905
2014-01-04 19:00:00,6.8823,0.0571,0.3951
2014-01-04 20:00:00,6.8842,0.0569,0.3967
2014-01-04 21:00:00,6.885,0.0567,0.3965
2014-01-04 22:00:00,6.8837,0.0567,0.3965
2014-01-04 23:00:00,6.8811,0.0566,0.3999
2014-01-05 00:00:00,6.886,0.0566,0.4024
2014-01-05 01:00:00,6.8886,0.0567,0.3992
2014-01-05 02:00:00,6.892,0.0569,0.4005
2014-01-05 03:00:00,6.8976,0.0566,0.4033
2014-01-05 04:00:00,6.8971,0.0565,0.4079
2014-01-05 05:00:00,6.9016,0.0565,0.4078
2014-01-05 06:00:00,6.8987,0.0564,0.4074
2014-01-05 07:00:00,6.8945,0.0564,0.4087
2014-01-05 08:00:00,6.8921,0.0561,0.4116
2014-01-05 09:00:00,6.8925,0.0567,0.4056
2014-01-05 10:00:00,6.9056,0.0573,0.4068
2014-01-05 11:00:00,6.9035,0.0573,0.41
2014-01-05 12:00:00,6.9031,0.0578,0.4081
2014-01-05 13:00:00,6.8936,0.0581,0.4047
2014-01-05 14:00:00,6.8829,0.059,0.4001
2014-01-05 15:00:00,6.884,0.0617,0.3961
2014-01-05 16:00:00,6.8765,0.0602,0.3946
2014-01-05 17:00:00,6.8736,0.0575,0.3948
2014-01-05 18:00:00,6.871,0.062,0.396
2014-01-05 19:00:00,6.8774,0.0567,0.3979
2014-01-05 20:00:00,6.8749,0.0569,0.402
2014-01-05 21:00:00,6.8745,0.0569,0.4027
2014-01-05 22:00:00,6.8768,0.0566,0.4032
2014-01-05 23:00:00,6.8786000000000005,0.0566,0.401
2014-01-06 00:00:00,6.8759,0.0566,0.4016
2014-01-06 01:00:00,6.8789,0.0565,0.4044
2014-01-06 02:00:00,6.8763000000000005,0.0565,0.4072
2014-01-06 03:00:00,6.8783,0.0565,0.409
2014-01-06 04:00:00,6.8726,0.0565,0.4092
2014-01-06 05:00:00,6.8708,0.0564,0.4092
2014-01-06 06:00:00,6.8741,0.0563,0.4083
2014-01-06 07:00:00,6.8697,0.0561,0.4102
2014-01-06 08:00:00,6.8668,0.0561,0.408
2014-01-06 09:00:00,6.8657,0.0567,0.4066
2014-01-06 10:00:00,6.876,0.0572,0.4123
2014-01-06 11:00:00,6.8758,0.058,0.4159
2014-01-06 12:00:00,6.874,0.0578,0.4106
2014-01-06 13:00:00,6.8693,0.0584,0.4124
2014-01-06 14:00:00,6.8689,0.0597,0.4046
2014-01-06 15:00:00,6.8789,0.0612,0.3986
2014-01-06 16:00:00,6.8739,0.0598,0.3987
2014-01-06 17:00:00,6.8728,0.0574,0.3942
2014-01-06 18:00:00,6.866,0.0571,0.397
2014-01-06 19:00:00,6.8588000000000005,0.0572,0.3985
2014-01-06 20:00:00,6.8648,0.0572,0.401
2014-01-06 21:00:00,6.8671,0.0573,0.4028
2014-01-06 22:00:00,6.8652,0.0572,0.4019
2014-01-06 23:00:00,6.8754,0.0574,0.3978
2014-01-07 00:00:00,6.8841,0.0574,0.4061
2014-01-07 01:00:00,6.8819,0.0573,0.4154
2014-01-07 02:00:00,6.885,0.0571,0.4124
2014-01-07 03:00:00,6.882,0.0573,0.414
2014-01-07 04:00:00,6.8866,0.0572,0.4124
2014-01-07 05:00:00,6.8844,0.0572,0.4142
2014-01-07 06:00:00,6.8834,0.0569,0.411
2014-01-07 07:00:00,6.8855,0.0566,0.4069
2014-01-07 08:00:00,6.8875,0.0568,0.4082
2014-01-07 09:00:00,6.8823,0.0571,0.4155
2014-01-07 10:00:00,6.8796,0.058,0.4144
2014-01-07 11:00:00,6.887,0.0585,0.4148
2014-01-07 12:00:00,6.8918,0.0576,0.4201
2014-01-07 13:00:00,6.882,0.0571,0.41
2014-01-07 14:00:00,6.8839,0.0612,0.4098
2014-01-07 15:00:00,6.8741,0.0587,0.4048
2014-01-07 16:00:00,6.8722,0.0582,0.4009
2014-01-07 17:00:00,6.8737,0.0573,0.3977
2014-01-07 18:00:00,6.878,0.0572,0.3959
2014-01-07 19:00:00,6.8732,0.0569,0.3998
2014-01-07 20:00:00,6.8746,0.0571,0.4011
2014-01-07 21:00:00,6.8768,0.057,0.4038
2014-01-07 22:00:00,6.8807,0.0571,0.4038
2014-01-07 23:00:00,6.8771,0.0569,0.4021
2014-01-08 00:00:00,6.8749,0.0569,0.4046
2014-01-08 01:00:00,6.8727,0.0573,0.404
2014-01-08 02:00:00,6.8823,0.0574,0.4037
2014-01-08 03:00:00,6.8861,0.0571,0.4072
2014-01-08 04:00:00,6.8825,0.0569,0.406
2014-01-08 05:00:00,6.8782,0.0571,0.4083
2014-01-08 06:00:00,6.8757,0.0571,0.409
2014-01-08 07:00:00,6.8732,0.0566,0.4069
2014-01-08 08:00:00,6.87,0.0568,0.4049
2014-01-08 09:00:00,6.8712,0.0573,0.4034
2014-01-08 10:00:00,6.8852,0.057,0.4055
2014-01-08 11:00:00,6.8826,0.0566,0.4105
2014-01-08 12:00:00,6.8892,0.2276,0.4004
2014-01-08 13:00:00,6.8829,0.0767,0.4024
2014-01-08 14:00:00,6.8877,0.0767,0.4023
2014-01-08 15:00:00,6.8907,0.061,0.403
2014-01-08 16:00:00,6.8897,0.0574,0.4028
2014-01-08 17:00:00,6.8864,0.0573,0.4044
2014-01-08 18:00:00,6.8887,0.0574,0.4027
2014-01-08 19:00:00,6.8877,0.0573,0.4011
2014-01-08 20:00:00,6.887,0.0573,0.3993
2014-01-08 21:00:00,6.8881,0.0573,0.4042
2014-01-08 22:00:00,6.8867,0.0575,0.4036
2014-01-08 23:00:00,6.8857,0.0574,0.3953
2014-01-09 00:00:00,6.8984000000000005,0.0573,0.4006
2014-01-09 01:00:00,6.898,0.0573,0.4042
2014-01-09 02:00:00,6.9008,0.0572,0.4006
2014-01-09 03:00:00,6.9038,0.0573,0.3982
2014-01-09 04:00:00,6.9045000000000005,0.0575,0.3957
2014-01-09 05:00:00,6.9032,0.058,0.3984
2014-01-09 06:00:00,6.9065,0.0581,0.3993
2014-01-09 07:00:00,6.9081,0.0577,0.3984
2014-01-09 08:00:00,6.9255,0.0571,0.4068
2014-01-09 09:00:00,6.923,0.0568,0.4102
2014-01-09 10:00:00,6.9243,0.057,0.4092
2014-01-09 11:00:00,6.9254,0.0566,0.4043
2014-01-09 12:00:00,6.9068000000000005,0.0565,0.411
2014-01-09 13:00:00,6.8983,0.0565,0.4082
2014-01-09 14:00:00,6.8937,0.0566,0.4026
2014-01-09 15:00:00,6.8944,0.0566,0.3998
2014-01-09 16:00:00,6.8949,0.0566,0.4006
2014-01-09 17:00:00,6.8903,0.0587,0.3985
2014-01-09 18:00:00,6.8881,0.0594,0.3972
2014-01-09 19:00:00,6.8857,0.0587,0.3957
2014-01-09 20:00:00,6.8847000000000005,0.0582,0.3969
2014-01-09 21:00:00,6.8833,0.0579,0.3986
2014-01-09 22:00:00,6.8859,0.0579,0.395
2014-01-09 23:00:00,6.9022,0.0583,0.3997
2014-01-10 00:00:00,6.916,0.0578,0.4058
2014-01-10 01:00:00,6.9332,0.0577,0.4084
2014-01-10 02:00:00,6.9497,0.0576,0.4081
2014-01-10 03:00:00,6.9546,0.0573,0.4082
2014-01-10 04:00:00,6.9609000000000005,0.0569,0.4058
2014-01-10 05:00:00,6.9652,0.0568,0.4066
2014-01-10 06:00:00,6.9671,0.0568,0.4064
2014-01-10 07:00:00,6.9702,0.0571,0.4069
2014-01-10 08:00:00,6.9699,0.057,0.4065
2014-01-10 09:00:00,6.969,0.0574,0.4048
2014-01-10 10:00:00,6.9622,0.0651,0.4016
