date,ph,tb,rc
2014-01-02 01:00:00,7.1316,0.0412,0.8271000000000001
2014-01-02 02:00:00,7.126,0.0402,0.8346
2014-01-02 03:00:00,7.1302,0.04,0.8343
2014-01-02 04:00:00,7.1316,0.04,0.8355
2014-01-02 05:00:00,7.1358,0.042,0.8298000000000001
2014-01-02 06:00:00,7.1358,0.042,0.8235
2014-01-02 07:00:00,7.1414,0.0418,0.8142
2014-01-02 08:00:00,7.1414,0.0416,0.8148000000000001
2014-01-02 09:00:00,7.1414,0.0412,0.8259000000000001
2014-01-02 10:00:00,7.1414,0.0414,0.8421000000000001
2014-01-02 11:00:00,7.1414,0.0416,0.8355
2014-01-02 12:00:00,7.1414,0.0408,0.8304
2014-01-02 13:00:00,7.1358,0.0416,0.8322
2014-01-02 14:00:00,7.1302,0.043,0.8499
2014-01-02 15:00:00,7.1246,0.042,0.8505
2014-01-02 16:00:00,7.1106,0.0416,0.8502000000000001
2014-01-02 17:00:00,7.105,0.0408,0.8502000000000001
2014-01-02 18:00:00,7.0994,0.0412,0.8439000000000001
2014-01-02 19:00:00,7.0994,0.041,0.8406
2014-01-02 20:00:00,7.105,0.0404,0.8355
2014-01-02 21:00:00,7.105,0.0414,0.8274
2014-01-02 22:00:00,7.1106,0.0418,0.8292
2014-01-02 23:00:00,7.1148,0.0408,0.84
2014-01-03 00:00:00,7.1148,0.0408,0.846
2014-01-03 01:00:00,7.1204,0.0408,0.8502000000000001
2014-01-03 02:00:00,7.126,0.0408,0.8355
2014-01-03 03:00:00,7.1302,0.041,0.822
2014-01-03 04:00:00,7.1302,0.0408,0.8109000000000001
2014-01-03 05:00:00,7.14,0.041,0.8025
2014-01-03 06:00:00,7.1414,0.041,0.8022
2014-01-03 07:00:00,7.1414,0.0416,0.8055
2014-01-03 08:00:00,7.1414,0.0408,0.8079000000000001
2014-01-03 09:00:00,7.1414,0.0418,0.8112
2014-01-03 10:00:00,7.1414,0.0416,0.813
2014-01-03 11:00:00,7.1414,0.0406,0.8169000000000001
2014-01-03 12:00:00,7.1414,0.0416,0.8064
2014-01-03 13:00:00,7.1414,0.0408,0.7809
2014-01-03 14:00:00,7.1358,0.0416,0.7833
